p, b, ordering, load_balancing, mapping, time,
2, 20, SCOTCH, NOLB, MODWRAP2D, 0.390797,  
2, 20, SCOTCH, NOLB, COL2D, 0.411538,  
2, 20, SCOTCH, NOLB, ROW2D, 0.215925,  
4, 20, SCOTCH, NOLB, MODWRAP2D, 0.245935,  
4, 20, SCOTCH, NOLB, COL2D, 0.316045,  
4, 20, SCOTCH, NOLB, ROW2D, 0.140451,  
8, 20, SCOTCH, NOLB, MODWRAP2D, 0.176762,  
8, 20, SCOTCH, NOLB, COL2D, 0.237621,  
8, 20, SCOTCH, NOLB, ROW2D, 0.104307,  
16, 20, SCOTCH, NOLB, MODWRAP2D, 0.125456,  
16, 20, SCOTCH, NOLB, COL2D, 0.153982,  
16, 20, SCOTCH, NOLB, ROW2D, 0.10066,  
24, 20, SCOTCH, NOLB, MODWRAP2D, 0.106345,  
24, 20, SCOTCH, NOLB, COL2D, 0.13174,  
24, 20, SCOTCH, NOLB, ROW2D, 0.0742309,  
64, 20, SCOTCH, NOLB, MODWRAP2D, 0.0933251,  
64, 20, SCOTCH, NOLB, COL2D, 0.0860569,  
64, 20, SCOTCH, NOLB, ROW2D, 0.065412,  
100, 20, SCOTCH, NOLB, MODWRAP2D, 0.138411,  
100, 20, SCOTCH, NOLB, COL2D, 0.0972819,  
100, 20, SCOTCH, NOLB, ROW2D, 0.0846848,  
169, 20, SCOTCH, NOLB, MODWRAP2D, 0.135343,  
169, 20, SCOTCH, NOLB, COL2D, 0.115638,  
169, 20, SCOTCH, NOLB, ROW2D, 0.11316,  
2, 20, SCOTCH, SUBCUBE-FO, MODWRAP2D, 0.279626,  
2, 20, SCOTCH, SUBCUBE-FO, COL2D, 0.240446,  
2, 20, SCOTCH, SUBCUBE-FO, ROW2D, 0.219296,  
4, 20, SCOTCH, SUBCUBE-FO, MODWRAP2D, 0.1655,  
4, 20, SCOTCH, SUBCUBE-FO, COL2D, 0.152112,  
4, 20, SCOTCH, SUBCUBE-FO, ROW2D, 0.130695,  
8, 20, SCOTCH, SUBCUBE-FO, MODWRAP2D, 0.11016,  
8, 20, SCOTCH, SUBCUBE-FO, COL2D, 0.098582,  
8, 20, SCOTCH, SUBCUBE-FO, ROW2D, 0.0883801,  
16, 20, SCOTCH, SUBCUBE-FO, MODWRAP2D, 0.0857399,  
16, 20, SCOTCH, SUBCUBE-FO, COL2D, 0.0817511,  
16, 20, SCOTCH, SUBCUBE-FO, ROW2D, 0.086936,  
24, 20, SCOTCH, SUBCUBE-FO, MODWRAP2D, 0.0741849,  
24, 20, SCOTCH, SUBCUBE-FO, COL2D, 0.0735421,  
24, 20, SCOTCH, SUBCUBE-FO, ROW2D, 0.059305,  
64, 20, SCOTCH, SUBCUBE-FO, MODWRAP2D, 0.191412,  
64, 20, SCOTCH, SUBCUBE-FO, COL2D, 0.155404,  
64, 20, SCOTCH, SUBCUBE-FO, ROW2D, 0.056278,  
100, 20, SCOTCH, SUBCUBE-FO, MODWRAP2D, 0.174534,  
100, 20, SCOTCH, SUBCUBE-FO, COL2D, 0.158293,  
100, 20, SCOTCH, SUBCUBE-FO, ROW2D, 0.693857,  
169, 20, SCOTCH, SUBCUBE-FO, MODWRAP2D, 0.86749,  
169, 20, SCOTCH, SUBCUBE-FO, COL2D, 0.14792,  
169, 20, SCOTCH, SUBCUBE-FO, ROW2D, 0.993737,  
2, 20, SCOTCH, SUBCUBE-FI, MODWRAP2D, 0.270674,  
2, 20, SCOTCH, SUBCUBE-FI, COL2D, 0.244525,  
2, 20, SCOTCH, SUBCUBE-FI, ROW2D, 0.236056,  
4, 20, SCOTCH, SUBCUBE-FI, MODWRAP2D, 0.156323,  
4, 20, SCOTCH, SUBCUBE-FI, COL2D, 0.149226,  
4, 20, SCOTCH, SUBCUBE-FI, ROW2D, 0.178044,  
8, 20, SCOTCH, SUBCUBE-FI, MODWRAP2D, 0.26077,  
8, 20, SCOTCH, SUBCUBE-FI, COL2D, 0.272028,  
8, 20, SCOTCH, SUBCUBE-FI, ROW2D, 0.243569,  
16, 20, SCOTCH, SUBCUBE-FI, MODWRAP2D, 0.34951,  
16, 20, SCOTCH, SUBCUBE-FI, COL2D, 0.34938,  
16, 20, SCOTCH, SUBCUBE-FI, ROW2D, 0.340278,  
24, 20, SCOTCH, SUBCUBE-FI, MODWRAP2D, 0.347431,  
24, 20, SCOTCH, SUBCUBE-FI, COL2D, 0.336397,  
24, 20, SCOTCH, SUBCUBE-FI, ROW2D, 0.35654,  
64, 20, SCOTCH, SUBCUBE-FI, MODWRAP2D, 0.334602,  
64, 20, SCOTCH, SUBCUBE-FI, COL2D, 0.208632,  
64, 20, SCOTCH, SUBCUBE-FI, ROW2D, 0.148052,  
100, 20, SCOTCH, SUBCUBE-FI, MODWRAP2D, 0.119606,  
100, 20, SCOTCH, SUBCUBE-FI, COL2D, 0.198254,  
100, 20, SCOTCH, SUBCUBE-FI, ROW2D, 0.147973,  
169, 20, SCOTCH, SUBCUBE-FI, MODWRAP2D, 0.139714,  
169, 20, SCOTCH, SUBCUBE-FI, COL2D, 0.15333,  
169, 20, SCOTCH, SUBCUBE-FI, ROW2D, 2.20397,  
