k, s, SCOTCH, NDGRID, METIS, MMD, AMD,  
3, 5, 29, 26, 26, 26, 28,  
9, 5, 585, 600, 522, 482, 478,  
16, 5, 2846, 2663, 2307, 2096, 2163,  
24, 5, 7924, 7632, 6512, 5724, 6388,  
32, 5, 16721, 15853, 13787, 11508, 13322,  
48, 5, 45418, 43714, 32931, 31335, 36828,  
64, 5, 87634, 88131, 70062, 63266, 74098,  
96, 5, 225661, 234552, 180403, 167141, 200175,  
128, 5, 438344, 462217, 352457, 332047, 402328,  
2048, 5, 211585703, 242820193, 172693602, 191121461, 205986978,  
k, s, SCOTCH, NDGRID, METIS, MMD, AMD,  
3, 7, 33, 28, 28, 28, 28,  
9, 7, 749, 680, 626, 570, 564,  
16, 7, 3344, 2993, 3113, 2781, 2726,  
24, 7, 9840, 8528, 8767, 8231, 7942,  
32, 7, 20586, 17579, 18135, 17235, 17166,  
48, 7, 56575, 48118, 49255, 47354, 47826,  
64, 7, 114006, 96253, 99710, 96904, 98363,  
96, 7, 296449, 254448, 260284, 258059, 264025,  
128, 7, 587654, 498015, 509926, 519305, 522342,  
k, s, SCOTCH, NDGRID, METIS, MMD, AMD,  
3, 9, 33, 30, 30, 30, 30,  
9, 9, 978, 745, 694, 666, 680,  
16, 9, 4290, 3258, 3480, 3309, 3417,  
24, 9, 11640, 9215, 9619, 9569, 9925,  
32, 9, 24826, 18952, 20726, 19816, 20270,  
48, 9, 64997, 51513, 55707, 55517, 55064,  
64, 9, 126449, 102710, 112873, 111253, 108520,  
96, 9, 334044, 269863, 281417, 287006, 288848,  
128, 9, 687359, 526516, 574951, 563638, 613853,  
